Languages,Salary,Machine Learning,Education,Benefits,Experience,url
1,"142,970",Yes,No Education Required,No,0,https://www.linkedin.com/jobs/view/3495947949/?alternateChannel=search&refId=J44dYJy3n8vrAe6BMWFWzA%3D%3D&trackingId=KUcOZWsom5U13KFGXhrzag%3D%3D
1,"142,970",Yes,Master,No,3,https://www.linkedin.com/jobs/view/3499198986/?alternateChannel=search&refId=J44dYJy3n8vrAe6BMWFWzA%3D%3D&trackingId=XG8Fp04161iejDebu4Giyg%3D%3D
6,"142,970",Yes,No Education Required,Yes,0,https://www.linkedin.com/jobs/view/3483125003/?alternateChannel=search&refId=J44dYJy3n8vrAe6BMWFWzA%3D%3D&trackingId=8lAsH8cgjFfICzCE87XWVw%3D%3D
3,"142,970",Yes,PhD,No,9,https://www.linkedin.com/jobs/view/3497996600/?alternateChannel=search&refId=J44dYJy3n8vrAe6BMWFWzA%3D%3D&trackingId=r%2FfYu1iL9shMRO5VfnTnaA%3D%3D
3,"142,970",No,No Education Required,No,0,https://www.linkedin.com/jobs/view/3485531966/?alternateChannel=search&refId=J44dYJy3n8vrAe6BMWFWzA%3D%3D&trackingId=%2BMhKnG8wEHlLaReJVY%2BVEA%3D%3D
4,"142,970",Yes,No Education Required,No,2,https://www.linkedin.com/jobs/view/3483162019/?alternateChannel=search&refId=J44dYJy3n8vrAe6BMWFWzA%3D%3D&trackingId=Vfvn3DB%2FZ6asJxPcHJ8oDA%3D%3D
3,"$81,300.00",Yes,Bachelor,Yes,1,https://www.linkedin.com/jobs/view/3491751485/?alternateChannel=search&refId=J44dYJy3n8vrAe6BMWFWzA%3D%3D&trackingId=QKY6Bhv2BCd0OerbFUKHOA%3D%3D
3,"142,970",Yes,PhD,No,3,https://www.linkedin.com/jobs/view/3503247533/?alternateChannel=search&refId=J44dYJy3n8vrAe6BMWFWzA%3D%3D&trackingId=zp7oF5%2FsiOxwJYWjHU8FcQ%3D%3D
4,"142,970",Yes,PhD,Yes,0,https://www.linkedin.com/jobs/view/3474104997/?alternateChannel=search&refId=GnHhQQXnnWxufh3U2wRtNQ%3D%3D&trackingId=W4fPMPJ%2FB68EVqR29ho8Sg%3D%3D
4,"142,970",Yes,Bachelor,Yes,0,https://www.linkedin.com/jobs/view/3491480925/?alternateChannel=search&refId=GnHhQQXnnWxufh3U2wRtNQ%3D%3D&trackingId=obkwBm89NkGEyj1%2Fr%2BaguA%3D%3D
4,"142,970",Yes,No Education Required,Yes,3,https://www.linkedin.com/jobs/view/3490390307/?alternateChannel=search&refId=GnHhQQXnnWxufh3U2wRtNQ%3D%3D&trackingId=64lJcJmFrjTb5LeG%2BGn3Qw%3D%3D
2,"142,970",Yes,PhD,No,5,https://www.linkedin.com/jobs/view/3491783046/?alternateChannel=search&refId=GnHhQQXnnWxufh3U2wRtNQ%3D%3D&trackingId=tUvUd1HD2UP8QK%2B3m4PQtQ%3D%3D
4,"142,970",Yes,Master,Yes,1,https://www.linkedin.com/jobs/view/3482039211/?alternateChannel=search&refId=GnHhQQXnnWxufh3U2wRtNQ%3D%3D&trackingId=Kbwc7ZPi%2FZjeLTZDB2IPTg%3D%3D
4,"142,970",Yes,Master,Yes,3,https://www.linkedin.com/jobs/view/3494351211/?alternateChannel=search&refId=GnHhQQXnnWxufh3U2wRtNQ%3D%3D&trackingId=v67CAV0A%2B9u33k5OyBOsLw%3D%3D
4,"142,970",No,No Education Required,No,2,https://www.linkedin.com/jobs/view/3479875781/?alternateChannel=search&refId=GnHhQQXnnWxufh3U2wRtNQ%3D%3D&trackingId=Nod2VquRNI7t9C75bpTCBg%3D%3D
2,"$170,000",No,PhD,Yes,0,https://www.linkedin.com/jobs/view/3487876716/?alternateChannel=search&refId=GnHhQQXnnWxufh3U2wRtNQ%3D%3D&trackingId=WW1s4SIM6oQyarzpf9dgXw%3D%3D
3,"142,970",No,No Education Required,No,0,https://www.linkedin.com/jobs/view/3494440488/?alternateChannel=search&refId=GnHhQQXnnWxufh3U2wRtNQ%3D%3D&trackingId=AWWH3x5ZAAu7gv6mLRuzJQ%3D%3D
4,"142,970",No,No Education Required,Yes,0,https://www.linkedin.com/jobs/view/3492155495/?alternateChannel=search&refId=GnHhQQXnnWxufh3U2wRtNQ%3D%3D&trackingId=Qvl5z3xEFYI8cmcmmUTEBg%3D%3D
3,"142,970",Yes,No Education Required,No,0,https://www.linkedin.com/jobs/view/3490320222/?alternateChannel=search&refId=GnHhQQXnnWxufh3U2wRtNQ%3D%3D&trackingId=G3zzdX1yTfgoBqfieR4YtA%3D%3D
1,"142,970",No,No Education Requied,Yes,0,https://www.linkedin.com/jobs/view/3497740104/?alternateChannel=search&refId=GnHhQQXnnWxufh3U2wRtNQ%3D%3D&trackingId=L%2B1iMzPS31NpHXwzDxAwbw%3D%3D
1,"142,970",No,PhD,Yes,0,https://www.linkedin.com/jobs/view/3478070149/?alternateChannel=search&refId=4A%2FyoMybD2%2FV2EKj0IOzvw%3D%3D&trackingId=MnneVlPxoIu1s8y6WFa6Lw%3D%3D
1,"142,970",No,No Education Required,Yes,0,https://www.linkedin.com/jobs/view/3500236943/?alternateChannel=search&refId=4A%2FyoMybD2%2FV2EKj0IOzvw%3D%3D&trackingId=7yRQ%2Bv849NcnLrMGyPQIYw%3D%3D
3,"142,970",Yes,PhD,No,3,https://www.linkedin.com/jobs/view/3487708185/?alternateChannel=search&refId=4A%2FyoMybD2%2FV2EKj0IOzvw%3D%3D&trackingId=UV0nErSDDQpgEFJMzQby1g%3D%3D
2,"142,970",Yes,Master,No,3,https://www.linkedin.com/jobs/view/3503257941/?alternateChannel=search&refId=4A%2FyoMybD2%2FV2EKj0IOzvw%3D%3D&trackingId=rYyBTplUJDJlXiIjDKT6pA%3D%3D
6,"142,970",Yes,Master,Yes,0,https://www.linkedin.com/jobs/view/3494092583/?alternateChannel=search&refId=giEumJfy6zBQ2wduDiKFlg%3D%3D&trackingId=eCfD%2FCz%2FMPx1IcCp2n7Afg%3D%3D
0,"142,970",Yes,No Education Required,No,7,https://www.linkedin.com/jobs/view/3497865734/?alternateChannel=search&refId=giEumJfy6zBQ2wduDiKFlg%3D%3D&trackingId=sx6inYrSEzZFEcAf1SfZ2A%3D%3D
3,"142,970",Yes,No Education Required,No,0,https://www.linkedin.com/jobs/view/3483751776/?alternateChannel=search&refId=giEumJfy6zBQ2wduDiKFlg%3D%3D&trackingId=X2bOp6l3v4DklEud2Qvv0w%3D%3D
5,"142,970",No,Master,Yes,1,https://www.linkedin.com/jobs/view/3482049975/?alternateChannel=search&refId=giEumJfy6zBQ2wduDiKFlg%3D%3D&trackingId=VWC4XDVhBktZ8exg5oUVEQ%3D%3D
6,"$94,500",No,Master,No,3,https://www.linkedin.com/jobs/view/3490315892/?alternateChannel=search&refId=giEumJfy6zBQ2wduDiKFlg%3D%3D&trackingId=5qMC2qnJ%2FLtPk0xfMoJoIA%3D%3D
2,"142,970",No,No Education Required,No,0,https://www.linkedin.com/jobs/view/3494496847/?alternateChannel=search&refId=giEumJfy6zBQ2wduDiKFlg%3D%3D&trackingId=xXXUGBFhhwfhjAg6tbzlvQ%3D%3D
5,"142,970",No,Master,Yes,3,https://www.linkedin.com/jobs/view/3490818587/?alternateChannel=search&refId=%2B2Fnmr3ZH8vYmtI5fkRwjw%3D%3D&trackingId=pJe0V5jYgsqm0YMIzCywcw%3D%3D
4,"142,970",No,Master,No,2,https://www.linkedin.com/jobs/view/3495956692/?alternateChannel=search&refId=%2B2Fnmr3ZH8vYmtI5fkRwjw%3D%3D&trackingId=kPmVEc22smQKkmdpQXj%2BTA%3D%3D
3,"142,970",No,PhD,No,1,https://www.linkedin.com/jobs/view/3498714814/?alternateChannel=search&refId=%2B2Fnmr3ZH8vYmtI5fkRwjw%3D%3D&trackingId=YF0gseljilW%2BExWmO2%2BGVg%3D%3D
4,"142,970",Yes,PhD,No,4,https://www.linkedin.com/jobs/view/3475943161/?alternateChannel=search&refId=15cszUJB8%2BvoFHkhHq4ZWw%3D%3D&trackingId=aU4V7xN89RTgQFXbh7fHdw%3D%3D
4,"$140,000",Yes,PhD,Yes,0,https://www.linkedin.com/jobs/view/3507105466/?alternateChannel=search&refId=15cszUJB8%2BvoFHkhHq4ZWw%3D%3D&trackingId=AvVlT4wTEUZYv8GxdiOyKw%3D%3D
0,"142,970",No,Bachelor,No,2,https://www.linkedin.com/jobs/view/3441702869/?alternateChannel=search&refId=gGykCqqW7PR3%2BKGLlk4SSw%3D%3D&trackingId=P2r11%2Br0vjIFo9ZRz5inGQ%3D%3D
4,"$125,000",Yes,PhD,Yes,0,https://www.linkedin.com/jobs/view/3474339133/?alternateChannel=search&refId=gGykCqqW7PR3%2BKGLlk4SSw%3D%3D&trackingId=Mts%2F25J7MLiA08YiK21tqQ%3D%3D
2,"142,970",Yes,No Education Required,No,0,https://www.linkedin.com/jobs/view/3296336105/?alternateChannel=search&refId=quOfBYU%2FKkLJrelEqLCmUw%3D%3D&trackingId=WwQZcMfAaJmm72jkKqUYlQ%3D%3D
4,"142,970",Yes,Bachelor,No,5,https://www.linkedin.com/jobs/view/3305892542/?alternateChannel=search&refId=quOfBYU%2FKkLJrelEqLCmUw%3D%3D&trackingId=AxxBdK7B4HKj1Taq36gsXg%3D%3D
0,"$130,000",Yes,No Eduation Required,No,2,https://www.linkedin.com/jobs/view/3491905657/?alternateChannel=search&refId=AcP99l%2BE6W3E6YIU%2Bh0jrw%3D%3D&trackingId=XbMcwpxMo5p0cd8vANfJjg%3D%3D
6,"142,970",Yes,Bachelor,No,3,https://www.linkedin.com/jobs/view/3443791832/?alternateChannel=search&refId=QT%2FkAD%2Bv4AoSyEjdkpypiA%3D%3D&trackingId=eMHIJwYWuzcbTiUFqbc%2Fpg%3D%3D
4,"142,970",No,PhD,Yes,0,https://www.linkedin.com/jobs/view/3485843952/?alternateChannel=search&refId=QT%2FkAD%2Bv4AoSyEjdkpypiA%3D%3D&trackingId=2M4irBmza6LDnFM%2Fed8G7g%3D%3D
1,"142,970",Yes,Master,Yes,0,https://www.linkedin.com/jobs/view/3501408792/?alternateChannel=search&refId=THGmPp5pcLJ7BFAfN4Xycg%3D%3D&trackingId=Z1AruM82D7mwW162Qb%2B5Dg%3D%3D
2,"142,970",Yes,PhD,No,3,https://www.linkedin.com/jobs/view/3476789804/?alternateChannel=search&refId=6%2BGdZbNLh2m956lisP0kXg%3D%3D&trackingId=GPpD61gLLNnlRavxc4nfhw%3D%3D
1,"142,970",Yes,Master,No,0,https://www.linkedin.com/jobs/view/3492929121/?alternateChannel=search&refId=6%2BGdZbNLh2m956lisP0kXg%3D%3D&trackingId=KZafzwPur%2F7%2FwFYiTR7vTw%3D%3D
4,"142,970",Yes,Bachelor,No,0,https://www.linkedin.com/jobs/view/2914502/?alternateChannel=search&refId=DOcFFWyaGQugL7mUzLowFw%3D%3D&trackingId=F4mLHtD%2BuQlC0WBxo8GbVQ%3D%3D
3,"142,970",No,Master,Yes,3,https://www.linkedin.com/jobs/view/3480674131/?alternateChannel=search&refId=2qEPhgj%2FWEJYFnl6velTYA%3D%3D&trackingId=M1PvIplKKU%2FATmdKTfnZzw%3D%3D
3,"142,970",No,PhD,Yes,0,https://www.linkedin.com/jobs/view/3487706839/?alternateChannel=search&refId=2qEPhgj%2FWEJYFnl6velTYA%3D%3D&trackingId=WoCl%2BCUZrl5qTvv2Sx7AsQ%3D%3D
4,"142,970",Yes,No Education Required,Yes,5,https://www.linkedin.com/jobs/view/3457192628/?alternateChannel=search&refId=2qEPhgj%2FWEJYFnl6velTYA%3D%3D&trackingId=Xt2nLfjg8CP9lzsR7IBXkg%3D%3D
4,"142,970",No,Master,Yes,2,https://www.linkedin.com/jobs/view/3507857368/?alternateChannel=search&refId=IpiB3zTYY9qWEKZmoTHbPg%3D%3D&trackingId=NIsGJSaAT0pxrecD9bcUgA%3D%3D
4,"142,970",No,No Education Required,No,2,https://www.linkedin.com/jobs/view/3479875781/?alternateChannel=search&refId=IpiB3zTYY9qWEKZmoTHbPg%3D%3D&trackingId=N%2FP4azAdlvcF6wngtVDSiQ%3D%3D
3,"142,970",Yes,No Education Required,Yes,0,https://www.linkedin.com/jobs/view/3483757696/?alternateChannel=search&refId=IpiB3zTYY9qWEKZmoTHbPg%3D%3D&trackingId=%2FUGg9vALMFDJ0q6LSe7BCw%3D%3D
3,"$150,000.00",No,No Education Required,No,3,https://www.linkedin.com/jobs/view/3358202763/?alternateChannel=search&refId=SfcYnvpclbZDDJ7lPSrSPQ%3D%3D&trackingId=38ZGC9G35b2H733ekwiVnA%3D%3D
2,"142,970",Yes,Master,No,0,https://www.linkedin.com/jobs/view/3464653380/?alternateChannel=search&refId=SfcYnvpclbZDDJ7lPSrSPQ%3D%3D&trackingId=0JLSJguO6KpZdqKBiGN7JA%3D%3D
4,"142,970",Yes,No Education Required,No,2,https://www.linkedin.com/jobs/view/3500478205/?alternateChannel=search&refId=PUPGvLaaEsPhdK8D0L0ygA%3D%3D&trackingId=dSnLGgpV4%2FxCwcKnuGKp2g%3D%3D
3,"$190,150.00",Yes,Master,No,0,https://www.linkedin.com/jobs/view/3485589284/?alternateChannel=search&refId=pbtG%2BpKcSINrxQ2zyK%2BMig%3D%3D&trackingId=nK7VKXmHYxCpB%2FgAwTkDug%3D%3D
4,"142,970",Yes,PhD,Yes,0,https://www.linkedin.com/jobs/view/3507569128/?alternateChannel=search&refId=IN0DvsJIujEd%2BWI%2FMhTRdg%3D%3D&trackingId=IEFExitPVuqQ0A7ZFKmLlA%3D%3D
4,"142,970",Yes,Master,Yes,0,https://www.linkedin.com/jobs/view/3483520818/?alternateChannel=search&refId=pGBsiuo3aY8Jo0jXvTu2HA%3D%3D&trackingId=O7KBgmRqudkuzNzDrDrqYw%3D%3D
2,"142,970",Yes,PhD,No,2,https://www.linkedin.com/jobs/view/3467081732/?alternateChannel=search&refId=P1YoVgcPvPSH489r01dCiA%3D%3D&trackingId=xv4pQN75x0yLREEJ2R5TLA%3D%3D
2,"$150,000",No,PhD,Yes,3,https://www.linkedin.com/jobs/view/3249197629/?alternateChannel=search&refId=P1YoVgcPvPSH489r01dCiA%3D%3D&trackingId=HdrXOtAS9jn7JXAKm8y15w%3D%3D
2,"142,970",Yes,Master,No,3,https://www.linkedin.com/jobs/view/3458734550/?alternateChannel=search&refId=P1YoVgcPvPSH489r01dCiA%3D%3D&trackingId=VBZmvO2BWDS%2FdhuW%2FpwXVw%3D%3D
3,"142,970",Yes,Bachelor,Yes,6,https://www.linkedin.com/jobs/view/3482023892/?alternateChannel=search&refId=Xo0kXhfdA3TH8SWtZR%2FdRw%3D%3D&trackingId=fjHxpeo%2B7gKgzdKsir0vEA%3D%3D
6,"142,970",Yes,No Education Required,Yes,0,https://www.linkedin.com/jobs/view/3483125003/?alternateChannel=search&refId=BHDOKV6ZbYCYAKZAyrWYEw%3D%3D&trackingId=Cd0P9g%2BU4DLptZPdMYqPdA%3D%3D
5,"142,970",Yes,Master,Yes,0,https://www.linkedin.com/jobs/view/3485548898/?alternateChannel=search&refId=NsgoInM8U39LUKlfbCUrCA%3D%3D&trackingId=K64BxGUKjeWMA5I4hO9lKA%3D%3D
6,"$162,000.00",No,Bachelor,No,0,https://www.linkedin.com/jobs/view/3507782958/?alternateChannel=search&refId=rxVUjOGLI0qLqScASWLU%2Fg%3D%3D&trackingId=1wLGQGGg7vSB4JF1BbqZLA%3D%3D
4,"142,970",Yes,Master,Yes,3,https://www.linkedin.com/jobs/view/3494351211/?alternateChannel=search&refId=rxVUjOGLI0qLqScASWLU%2Fg%3D%3D&trackingId=UYX%2B4wjCr6R1o1JCSOGVYA%3D%3D
3,"142,970",Yes,No Education Required,Yes,0,https://www.linkedin.com/jobs/view/3496401704/?alternateChannel=search&refId=ozUPHUao4HZPqC3GPYMfqA%3D%3D&trackingId=BEwE8a7%2Fnm3%2FdE3SeQGscw%3D%3D
